// PacMan
// Criação:     03 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Food)
//
// Informações de posição da comida
// posX posY


//Linha 1 teste
120 73
168 73
216 73
264 73
312 73
360 73
408 73
554 73
602 73
650 73
698 73
746 73
794 73
842 73



//Linha 2 teste
73 121
264 121
408 121
554 121
698 121
888 121

//Linha 3 teste
73 169
264 169
408 169
456 169
502 169
552 169
698 169

//Linha 4 teste
73 217
168 217
216 217
264 217
456 217
502 217
698 217
746 217
794 217	
888 217	


//Linha 5 teste
73 265
120 265
168 265
264 265
312 265
360 265
408 265
456 265
502 265	
552 265	
600 265	
650 265
698 265
794 265
842 265
888 265

//Linha 6 teste
168 313
264 313
698 313
794 313

//Linha 7
24 360
73 360
120 360
168 360
264 360
698 360
794 360
842 360
888 360	
936 360

//Linha 8
264 408
698 408
794 408

//Linha 9
73 456
168 456
264 456
312 456
360 456
408 456
456 456
502 456
552 456
600 456
650 456
698 456
794 456
888 456

//Linha 10
73 502
168 502
264 502
456 502
502 502
698 502
794 502
888 502

//Linha 11
73 550
120 550
168 550
216 550
264 550
312 550
360 550
408 550
456 550
502 550	
552 550	
600 550	
650 550
698 550
746 550
794 550
842 550
888 550

//Linha 12
73 598
264 598
360 598
602 598
698 598
888 598

//Linha 13
120 650
168 650
264 650
312 650
360 650
408 650
456 650
502 650	
552 650	
600 650	
650 650
698 650
794 650
842 650
