// PacMan
// Criação:     03 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Food)
//
// Informações de posição da comida
// posX posY

//Linha 1
24 73
120 73
168 73
216 73
264 73
312 73
360 73
408 73
456 73
502 73
554 73
602 73
650 73
698 73
746 73
794 73
//842 73
936 73

//Linha 2
24 121
216 121
408 121
554 121
746 121
936 121

//Linha 3
24 169
73 169
120 169
216 169
264 169
312 169
408 169
554 169
650 169
842 169
888 169
936 169

//Linha 4
24 217
120 217
216 217
312 217
408 217
456 217
502 217
554 217
650 217
746 217
842 217
936 217


//Linha 5
24 265
120 265
168 265
216 265
312 265
650 265
746 265
794 265
842 265
936 265

//Linha 6
24 313
120 313
216 313
264 313
312 313
360 313
408 313
456 313
502 313
554 313
602 313
650 313
698 313
746 313
842 313
936 313

//Linha 7
24 360
120 360
216 360
746 360
842 360
936 360

//Linha 8
24 408
73 408
120 408
216 408
264 408
312 408
650 408
698 408
746 408
842 408
888 408
936 408

//Linha 9
24 456
120 456
312 456
360 456
408 456
456 456
502 456
554 456
602 456
650 456
842 456
936 456

//Linha 10
120 502
168 502
312 502
650 502
746 502
794 502
842 502
888 502

//Linha 11
120 550
312 550
360 550
408 550
456 550
502 550	
552 550	
600 550	
650 550
746 550
888 550

//Linha 12
120 598
168 598
312 598
600 598
746 598

//Linha 13
168 650
216 650
264 650
312 650
360 650
408 650
456 650
502 650
552 650
600 650
650 650
698 650
746 650
794 650

