// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
0 1 0 1 71 73
1 1 0 1 167 73
1 1 0 1 215 73
1 1 1 1 263 73
1 1 0 1 311 73
1 0 0 1 407 73
0 1 0 1 551 73
1 1 0 1 647 73
1 1 1 1 695 73
1 1 0 1 743 73
1 1 0 1 791 73
1 0 0 1 887 73

// linha 2
0 1 1 0 167 117.5
1 1 1 1 215 117.5
1 1 1 1 263 117.5
1 0 1 1 311 117.5
0 0 1 1 407 117.5
0 0 1 1 551 117.5
0 1 1 1 647 117.5
1 1 1 1 695 117.5
1 1 1 1 743 117.5
1 0 1 0 791 117.5

// linha 3
0 1 1 1 215 165.5
1 1 1 1 263 165.5
1 0 1 0 311 165.5
0 1 1 0 407 165.5
1 1 0 1 455 165.5
1 1 0 1 503 165.5
1 0 1 0 551 165.5
0 1 1 0 647 165.5
1 1 1 1 695 165.5
1 0 1 1 743 165.5

// linha 4
0 1 0 1 167 213.5
1 1 1 0 215 213.5
1 0 1 1 263 213.5
0 1 1 1 455 213.5
1 0 1 1 503 213.5
0 1 1 1 695 213.5
1 1 1 0 743 213.5
1 0 0 1 791 213.5

// linha 5
0 1 1 0 71 265
1 0 1 1 167 265
0 1 1 1 263 265
1 1 0 1 311 265
1 1 1 0 455 265
1 1 1 0 503 265
1 1 0 1 647 265
1 0 1 1 695 265
0 1 1 1 791 265
1 0 1 0 887 265

// linha 6
0 1 1 1 263 312
1 0 1 0 311 312

0 1 1 0 454 312
1 0 1 0 502 312

0 1 1 0 647 312
1 0 1 1 695 312

// linha 7
1 0 1 1 167 361
0 1 1 1 791 361

// linha 8
0 1 1 1 263 405
1 0 0 1 311 405
0 1 0 1 647 405
1 0 1 1 695 405

// linha 9
0 0 0 1 72 456
0 1 1 1 264 456
1 1 1 1 312 456
1 1 0 1 455 456
1 1 0 1 503 456
1 1 1 1 649 456
1 0 1 1 697 456
0 0 0 1 888 456

// linha 10
0 1 1 1 71 501
1 1 0 1 119 501
1 0 1 1 167 501
0 1 1 1 263 501
1 0 1 1 311 501
0 1 1 1 455 501
1 0 1 1 503 501
0 1 1 1 647 501
1 0 1 1 695 501
0 1 1 1 791 501
1 1 0 1 839 501
1 0 1 1 887 501

// linha 11
0 1 1 1 71 549
1 1 1 0 119 549
1 1 1 0 167 549
1 1 1 1 263 549
1 1 1 0 311 549
1 1 0 1 359 549

1 1 1 0 451 549
1 1 1 0 499 549
1 1 0 1 599 549

1 1 1 0 647 549
1 1 1 1 695 549
1 1 1 0 791 549
1 1 1 0 839 549
1 0 1 1 887 549

// linha 13
0 1 1 0 71 645
1 0 0 0 167 645
0 1 1 1 263 645
1 1 1 0 359 645
1 1 1 0 599 645
1 0 1 1 695 645
0 1 0 0 791 645
1 0 1 0 887 645
