// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 2 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

//linha 0
0 1 1 1 408 24
1 1 1 1 456 24
1 1 1 1 502 24
1 0 1 1 552 24

// linha 1
1 0 0 1 24 73
0 1 0 0 120 73
1 1 0 1 168 73
1 1 0 1 216 73
1 1 0 1 360 73
1 1 1 1 408 73
1 1 1 0 456 73
1 1 1 0 502 73
1 1 1 1 552 73
1 1 0 1 600 73
1 1 0 0 650 73
1 1 0 0 698 73
1 1 0 1 746 73
1 1 0 1 794 73
1 0 0 0 842 73
0 1 0 1 936 73


// linha 2
1 1 1 1 24 121
1 0 0 1 73 121 
0 1 1 0 168 121
1 0 1 1 216 121
0 1 1 0 360 121
1 0 1 1 408 121
0 1 1 1 554 121
1 0 1 0 602 121
0 1 1 1 746 121
1 0 1 0 794 121
0 1 0 1 888 121
1 1 1 1 936 121


//linha 3
1 1 1 1 24 169
1 1 1 0 73 169
1 0 0 1 120 169
0 1 1 1 216 169
1 1 0 1 264 169
1 0 0 1 312 169
0 0 1 1 408 169
0 0 1 1 554 169
0 1 0 1 650 169
1 1 0 1 698 169
1 0 1 1 746 169
0 1 0 1 842 169
1 1 1 0 888 169
1 1 1 1 936 169

// linha 4
1 0 1 1 24 217
0 1 1 1 120 217
1 1 0 1 168 217
1 1 1 1 216 217
1 1 1 0 264 217
1 0 1 1 312 217
0 1 1 0 408 217
1 1 0 0 456 217
1 1 0 0 502 217
1 0 1 0 554 217
0 1 1 1 650 217
1 1 1 0 698 217
1 1 1 1 746 217
1 1 0 1 794 217
1 0 1 1 842 217
0 1 1 1 936 217

// linha 5
1 0 1 1 24 265
0 1 1 1 120 265
1 1 1 0 168 265
1 0 1 1 216 265
0 0 1 1 312 265
0 0 1 1 650 265
0 1 1 1 746 265
1 1 1 0 794 265
1 0 1 1 842 265
0 1 1 1 936 265


//Linha 6
1 0 1 1 24 313
0 0 1 1 120 313
0 1 1 1 216 313
1 1 0 1 264 313
1 1 1 0 312 313
1 1 0 0 360 313
1 1 0 0 408 313
1 1 0 0 456 313
1 1 0 0 504 313
1 1 0 0 550 313
1 1 0 0 602 313
1 1 1 0 650 313
1 1 0 1 698 313
1 0 1 1 746 313
0 0 1 1 842 313
0 1 1 1 936 313

//Linha 7
1 0 1 1 24 360
0 0 1 1 216 360
1 0 1 1 264 360
0 1 1 1 698 360
1 0 1 1 746 360
0 0 1 1 842 360
0 1 1 1 936 360


//linha 8
1 1 1 1 24 408
1 1 0 1 72 408
1 0 1 1 120 408
0 1 1 0 216 408
1 1 1 0 268 408
1 0 0 1 308 408
0 1 0 1 650 408
1 1 1 0 698 408
1 0 1 0 746 408
0 1 1 1 842 408
1 1 0 1 888 408
1 1 1 1 936 408
    

// linha 9
1 1 1 0 24 456
1 1 1 1 72 456
1 0 1 1 120 456

0 1 1 1 308 456
1 1 0 1 360 456
1 1 0 0 408 456
1 1 0 0 456 456

1 1 0 0 502 456
1 1 0 0 554 456
1 1 0 1 600 456
1 0 1 1 650 456
0 1 1 1 842 456
1 1 1 1 888 456
1 1 1 0 936 456


// linha 10
0 1 1 1 73  502
1 1 1 1 120 502
1 1 0 1 168 502
1 0 0 1 216 502
0 1 1 1 308 502
1 0 1 1 364 502
0 1 1 1 600 502
1 0 1 1 650 502
0 1 0 1 746 502
1 1 0 1 798 502
1 1 1 1 842 502
1 0 1 1 888 502



// linha 11
0 1 1 0 73 550
1 1 1 1 120 550
1 1 1 1 168 550
1 0 1 1 216 550
0 1 1 1 308 550
1 1 1 1 364 550
1 1 0 0 408 550
1 1 0 0 456 550
1 1 0 0 502 550
1 1 0 0 554 550
1 1 1 1 600 550
1 0 1 1 650 550
0 1 1 1 746 550
1 1 1 1 798 550
1 1 1 1 842 550
1 0 1 0 888 550


//linha 12
0 1 1 0 120 600
1 1 1 1 168 600
1 1 1 1 216 600
1 1 0 1 264 600
1 1 1 1 312 600
1 0 1 1 360 600
0 1 1 1 600 600
1 1 1 1 650 600
1 1 0 1 698 600
1 1 1 1 746 600
1 1 1 1 794 600
1 0 1 0 842 600


//linha 13
0 1 1 0 168 650
1 1 1 0 216 650
1 1 1 0 264 650
1 1 1 0 312 650
1 1 1 0 360 650

1 1 0 1 408 650
1 1 0 1 456 650
1 1 0 1 502 650
1 1 0 1 552 650

1 1 1 0 600 650
1 1 1 0 650 650
1 1 1 0 698 650
1 1 1 0 746 650
1 0 1 0 794 650


//linha 14
0 1 1 1 408 698
1 1 1 1 456 698
1 1 1 1 502 698
1 0 1 1 552 698
